Title,Screen,Pre-condition,Steps,Test Data,Expected Results,Actual results,Priority,Serverity,Date,Owner,TC'ID,Build,System,Assign To,Status,Evident (Hình ảnh lỗi)
[DF_011] Nhập trùng Tên Combo đã tồn tại,Màn hình Combo,Hệ thống đã có combo tên 'Combo Tết'.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấn Thêm Combo.
Bước 5. Nhập Tên Combo: 'Combo Tết'.
Bước 6. Nhập Giá: 100000.
Bước 7. Nhấn nút Lưu Combo.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form Thêm mới.
Bước 5. Ghi nhận tên.
Bước 6. Ghi nhận giá.
Bước 7. Hệ thống lưu thành công (hệ thống cho phép trùng tên vì Mã Combo tự sinh và là duy nhất).","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Form Thêm mới.
Bước 5. Ghi nhận tên.
Bước 6. Ghi nhận giá.
Bước 7. Giao diện không báo lỗi trùng lặp khi người dùng nhập, hệ thống đẩy thẳng xuống DB và bị phát sinh lỗi SqlException Unique Key Constraint.",High,High,24/04/2026,QA Team,TC_CB_087,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_012] Xóa toàn bộ số lượng SP trong rổ về trống,Màn hình Combo,Rổ có 1 SP đang có SL = 1.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấp chuột vào ô SL.
Bước 5. Xóa sạch dữ liệu trong ô (xóa số 1).
Bước 6. Nhấn Enter.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Mở ô nhập liệu.
Bước 5. Ghi nhận ô trống.
Bước 6. Hệ thống tự động khôi phục số lượng về 1, không cho phép số lượng rỗng.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Mở ô nhập liệu.
Bước 5. Ghi nhận ô trống.
Bước 6. Hệ thống không chặn việc xóa số lượng, cho phép lưu số lượng trống (null) dẫn đến lỗi NullReferenceException khi tính toán doanh thu.",High,High,24/04/2026,QA Team,TC_CB_099,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_013] Xóa toàn bộ Phân bổ (%) trong rổ về trống,Màn hình Combo,Rổ có 1 SP.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Combo sản phẩm.
Bước 4. Nhấp chuột vào ô Phân bổ (%).
Bước 5. Xóa sạch dữ liệu trong ô.
Bước 6. Nhấn Enter.",,"Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Mở ô nhập liệu.
Bước 5. Ghi nhận ô trống.
Bước 6. Hệ thống tự động khôi phục giá trị về 0, không cho phép tỷ lệ rỗng.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, chuyển sang màn hình chính.
Bước 3. Màn hình danh sách Combo mở ra.
Bước 4. Mở ô nhập liệu.
Bước 5. Ghi nhận ô trống.
Bước 6. Hệ thống cho phép nhập và lưu tỷ lệ phân bổ trống (0%), dẫn đến lỗi DivideByZeroException ở các hàm tính giá.",High,High,24/04/2026,QA Team,TC_CB_100,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_014] Thông báo lỗi khi bỏ trống Mã SP,Màn hình Sản phẩm,"Đang ở Thêm mới, để trống các ô.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Nhấn Thêm mới.
Bước 5. Xóa trắng nội dung ô Mã SP.
Bước 6. Nhấn nút Lưu.",,"Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Mở panel Thêm mới.
Bước 5. Mã SP trống.
Bước 6. Hệ thống từ chối lưu. Hiển thị thông báo: Bắt buộc có mã sản phẩm.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Mở panel Thêm mới.
Bước 5. Mã SP trống.
Bước 6. Hệ thống không có validation Required Field cho Mã SP, cho phép lưu xuống DB và phát sinh lỗi ràng buộc Not Null.",High,Medium,24/04/2026,QA Team,TC_SP_031,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_015] Thông báo lỗi khi bỏ trống Tên SP,Màn hình Sản phẩm,"Đang ở Thêm mới, điền Mã SP, trống Tên SP.","Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Nhấn Thêm mới.
Bước 5. Nhập Mã SP là VE_TEST.
Bước 6. Để trống ô Tên SP và nhấn Lưu.",,"Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Mở panel Thêm mới.
Bước 5. Đã nhập Mã SP.
Bước 6. Hệ thống từ chối lưu. Hiển thị thông báo: Bắt buộc nhập tên sản phẩm.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Mở panel Thêm mới.
Bước 5. Đã nhập Mã SP.
Bước 6. Hệ thống không báo lỗi khi bỏ trống Tên SP, vẫn hiển thị popup Lưu thành công với Tên trống.",High,Medium,24/04/2026,QA Team,TC_SP_032,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_016] Lỗi trùng mã sản phẩm,Màn hình Sản phẩm,Hệ thống đã có mã VE_001.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, chọn Sản phẩm, Dịch vụ & Vé.
Bước 4. Nhấn Thêm mới.
Bước 5. Nhập Mã SP: VE_001, điền đầy đủ các thông tin bắt buộc khác.
Bước 6. Nhấn nút Lưu.",,"Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Mở panel Thêm mới.
Bước 5. Thông tin đã điền.
Bước 6. Hệ thống từ chối lưu. Hiển thị thông báo: Mã sản phẩm đã tồn tại: VE_001.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở màn hình danh sách SP.
Bước 4. Mở panel Thêm mới.
Bước 5. Thông tin đã điền.
Bước 6. Hệ thống phát sinh lỗi SqlException thay vì hiển thị thông báo lỗi thân thiện trên giao diện do trùng Mã sản phẩm.",High,High,24/04/2026,QA Team,TC_SP_035,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_017] Báo lỗi hệ số quy đổi âm,Màn hình Sản phẩm,Đang ở tab Quy đổi ĐVT.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Danh mục, chọn SP, sang tab Quy đổi ĐVT.
Bước 4. Nhấn Thêm dòng, nhập hệ số: -5.
Bước 5. Nhấn Lưu.",,"Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Tab Quy đổi ĐVT hiển thị.
Bước 4. Hệ số âm.
Bước 5. Hệ thống từ chối lưu, hiển thị thông báo: Tỷ lệ quy đổi phải là số dương hợp lệ.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Tab Quy đổi ĐVT hiển thị.
Bước 4. Hệ số âm.
Bước 5. Hệ thống cho phép lưu hệ số quy đổi là số âm mà không có ErrorProvider cảnh báo trên TextBox.",High,High,24/04/2026,QA Team,TC_SP_052,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_018] Báo lỗi ĐVT quy đổi đích trùng với ĐVT gốc,Màn hình Sản phẩm,Đang ở Tab Quy đổi ĐVT.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, Sản phẩm, Dịch vụ & Vé, chọn SP có ĐVT gốc là Lon.
Bước 4. Sang Tab Quy đổi ĐVT, nhấn Thêm dòng.
Bước 5. Chọn ĐVT đích là Lon.
Bước 6. Nhấn Lưu.",,"Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở Tab Quy đổi ĐVT.
Bước 4. Lưới thêm dòng.
Bước 5. Chọn trùng ĐVT gốc.
Bước 6. Hệ thống từ chối lưu, hiển thị thông báo: Đơn vị quy đổi không được trùng với đơn vị gốc.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở Tab Quy đổi ĐVT.
Bước 4. Lưới thêm dòng.
Bước 5. Chọn trùng ĐVT gốc.
Bước 6. Hệ thống cho phép lưu ĐVT quy đổi trùng với ĐVT gốc, gây sai lệch logic tính toán tồn kho.",High,High,24/04/2026,QA Team,TC_SP_077,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_019] Thêm nguyên liệu trùng trong BOM,Màn hình Sản phẩm,Đang ở Tab Cấu hình F&B.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Danh mục, Thêm mới Đồ ăn, sang tab F&B.
Bước 4. Thêm dòng 1: Đường, Số lượng 1.
Bước 5. Thêm dòng 2: Đường, Số lượng 2.
Bước 6. Nhấn Lưu.",,"Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở Tab Cấu hình F&B.
Bước 4. Thêm thành công.
Bước 5. Thêm thành công.
Bước 6. Hệ thống từ chối lưu, thông báo: Nguyên liệu trong công thức bị trùng lặp. Vui lòng gộp chung số lượng.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở Tab Cấu hình F&B.
Bước 4. Thêm thành công.
Bước 5. Thêm thành công.
Bước 6. Lưới BOM (Định mức) cho phép thêm nhiều lần cùng một nguyên liệu mà không gộp số lượng hoặc cảnh báo trùng lặp.",High,Medium,24/04/2026,QA Team,TC_SP_081,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_020] Báo lỗi nếu VAT nhỏ hơn 0,Màn hình Sản phẩm,Đang ở Thêm mới.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, Sản phẩm, Dịch vụ & Vé, Thêm mới SP.
Bước 4. Cố gắng nhập số âm (-5) vào VAT.
Bước 5. Nhấn Lưu.",,"Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở panel Thêm mới.
Bước 4. Số âm được gõ (nếu UI cho phép) hoặc bị chặn.
Bước 5. Nếu gửi xuống, hệ thống báo: Thuế VAT phải từ 0 đến 100.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở panel Thêm mới.
Bước 4. Số âm được gõ (nếu UI cho phép) hoặc bị chặn.
Bước 5. Ô nhập VAT không được thiết lập giới hạn MinValue=0, hệ thống cho phép lưu giá trị thuế VAT âm.",High,High,24/04/2026,QA Team,TC_SP_096,Sprint 1,Đại Nam POS,Dev Team,New,
[DF_021] Báo lỗi nếu VAT lớn hơn 100,Màn hình Sản phẩm,Đang ở Thêm mới.,"Bước 1. Mở phần mềm Đại Nam POS.
Bước 2. Đăng nhập tài khoản Quản lý (admin).
Bước 3. Vào Hệ thống Danh Mục, Sản phẩm, Dịch vụ & Vé, Thêm mới SP.
Bước 4. Nhập số 150 vào VAT.
Bước 5. Nhấn Lưu.",,"Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở panel Thêm mới.
Bước 4. Giá trị 150 được gõ.
Bước 5. Hệ thống báo: Thuế VAT phải từ 0 đến 100.","Bước 1. Màn hình đăng nhập xuất hiện.
Bước 2. Vào màn hình chính.
Bước 3. Mở panel Thêm mới.
Bước 4. Giá trị 150 được gõ.
Bước 5. Ô nhập VAT không được thiết lập giới hạn MaxValue=100, hệ thống cho phép lưu giá trị thuế VAT vượt quá 100%.",High,Medium,24/04/2026,QA Team,TC_SP_097,Sprint 1,Đại Nam POS,Dev Team,New,
