REQ ID,TC ID,Tiêu đề kiểm thử,Thời gian (phút),Loại kiểm thử,Phân vùng,Điều kiện tiên quyết,Các bước thực hiện,Kết quả mong đợi,Mức độ ưu tiên,Kết quả,Thay đổi,Người viết,Ghi chú
CN18,TC_BC_011,Chuyển sang Biểu đồ Đường thành công,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tại ComboBox Loại biểu đồ, chọn giá trị: Biểu đồ đường.
Bước 5. Quan sát chartBar.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Chọn thành công.
Bước 5. Biểu đồ chuyển sang dạng đường (Line) với các điểm đánh dấu.",High,,,Antigravity,
CN18,TC_BC_012,Chuyển sang Biểu đồ Vùng thành công,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tại ComboBox Loại biểu đồ, chọn giá trị: Biểu đồ vùng.
Bước 5. Quan sát chartBar.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Chọn thành công.
Bước 5. Biểu đồ chuyển sang dạng vùng (Area) có tô màu nền.",High,,,Antigravity,
CN18,TC_BC_013,Chuyển sang Biểu đồ Cột chồng thành công,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tại ComboBox Loại biểu đồ, chọn giá trị: Biểu đồ cột chồng.
Bước 5. Quan sát chartBar.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Chọn thành công.
Bước 5. Biểu đồ chuyển sang dạng cột chồng (StackedBar).",High,,,Antigravity,
CN18,TC_BC_014,Biểu đồ Tròn hiển thị đúng tỷ lệ nhóm sản phẩm,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát biểu đồ chartPie.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Biểu đồ hiển thị tỷ lệ phần trăm doanh thu của từng Nhóm sản phẩm (Vé, Đồ ăn, Đồ uống...).",High,,,Antigravity,
CN18,TC_BC_015,Đồng hồ KPI hiển thị đúng % doanh thu,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tính tổng doanh thu thực tế.
Bước 5. Quan sát kim đồng hồ KPI.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Xác định tổng doanh thu.
Bước 5. Kim đồng hồ chỉ đúng vị trí phần trăm đạt được so với mục tiêu 50 triệu.",High,,,Antigravity,
CN18,TC_BC_016,Đồng hồ KPI đạt tối đa 100% khi vượt mục tiêu,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Giả lập tổng doanh thu đạt 60 triệu.
Bước 5. Quan sát kim đồng hồ KPI.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Doanh thu vượt mục tiêu.
Bước 5. Kim đồng hồ dừng lại ở mức 100%, không vượt quá cung tròn.",High,,,Antigravity,
CN18,TC_BC_017,Bảng chéo PivotGrid hiển thị đúng tổng cộng,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát dòng Grand Total và cột Grand Total trên PivotGrid.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Hệ thống tự động tính tổng doanh thu và số lượng theo hàng và cột chính xác.",High,,,Antigravity,
CN18,TC_BC_018,GridControl hiển thị đúng định dạng ngày,5,UI/UX,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát cột Ngày trên bảng chi tiết.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Dữ liệu ngày tháng hiển thị đúng định dạng dd/MM/yyyy.",High,,,Antigravity,
CN18,TC_BC_019,GridControl hiển thị đúng định dạng số tiền,5,UI/UX,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát cột Doanh thu trên bảng chi tiết.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Số tiền hiển thị có dấu phẩy phân cách hàng nghìn (ví dụ: 1,000,000).",High,,,Antigravity,
CN18,TC_BC_020,Không cho phép chỉnh sửa trên GridControl,5,Negative,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Click đúp vào một ô dữ liệu trên GridControl.
Bước 5. Cố gắng gõ phím để sửa.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Ô không chuyển sang trạng thái Edit.
Bước 5. Không thể thay đổi giá trị dữ liệu.",High,,,Antigravity,
CN18,TC_BC_021,Xuất báo cáo Excel thành công,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Nhấn nút Xuất Excel.
Bước 5. Tại hộp thoại lưu, chọn đường dẫn và nhấn Save.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Hộp thoại SaveFileDialog hiển thị.
Bước 5. Hệ thống thông báo 'Đã xuất thành công!'.",High,,,Antigravity,
CN18,TC_BC_022,Hủy thao tác xuất Excel,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Nhấn nút Xuất Excel.
Bước 5. Tại hộp thoại lưu, nhấn Cancel.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Hộp thoại SaveFileDialog hiển thị.
Bước 5. Hộp thoại đóng lại, không có file nào được tạo.",High,,,Antigravity,
CN18,TC_BC_023,Xuất báo cáo PDF thành công,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Nhấn nút Xuất PDF.
Bước 5. Tại hộp thoại lưu, chọn đường dẫn và nhấn Save.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Hộp thoại SaveFileDialog hiển thị.
Bước 5. Hệ thống thông báo 'Đã xuất PDF thành công!'.",High,,,Antigravity,
CN18,TC_BC_024,Hủy thao tác xuất PDF,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Nhấn nút Xuất PDF.
Bước 5. Tại hộp thoại lưu, nhấn Cancel.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Hộp thoại SaveFileDialog hiển thị.
Bước 5. Hộp thoại đóng lại, không có file nào được tạo.",High,,,Antigravity,
CN18,TC_BC_025,Lỗi ngày bắt đầu lớn hơn ngày kết thúc,5,Negative,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tại ô Từ ngày, nhập giá trị: 30/04/2026.
Bước 5. Tại ô Đến ngày, nhập giá trị: 01/04/2026.
Bước 6. Nhấn nút Lọc.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Ô Từ ngày nhận giá trị.
Bước 5. Ô Đến ngày nhận giá trị.
Bước 6. Hệ thống hiển thị cảnh báo: 'Ngày bắt đầu không thể lớn hơn ngày kết thúc'.",High,,,Antigravity,
CN18,TC_BC_026,Chọn khoảng ngày trong tương lai,5,Negative,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tại ô Từ ngày, nhập giá trị: 01/05/2026.
Bước 5. Tại ô Đến ngày, nhập giá trị: 05/05/2026.
Bước 6. Nhấn nút Lọc.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Ô Từ ngày nhận giá trị.
Bước 5. Ô Đến ngày nhận giá trị.
Bước 6. Hệ thống báo lỗi: 'Không thể chọn ngày trong tương lai'.",High,,,Antigravity,
CN18,TC_BC_027,Nhập ngày thủ công sai định dạng,5,Negative,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Tại ô Từ ngày, gõ chuỗi: abc/def.
Bước 5. Nhấn phím Tab.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Gõ chuỗi sai định dạng.
Bước 5. Ô tự động xóa chuỗi hoặc trả về giá trị ngày hợp lệ gần nhất.",High,,,Antigravity,
CN18,TC_BC_028,Kiểm tra tính trực quan của biểu đồ tròn,5,UI/UX,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Click chuột vào một miếng trên biểu đồ tròn chartPie.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Miếng biểu đồ được tách nhẹ ra ngoài để làm nổi bật.",High,,,Antigravity,
CN18,TC_BC_029,Kiểm tra thanh cuộn trên GridControl,5,UI/UX,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Cuộn chuột xuống dưới cùng của GridControl.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Thanh cuộn dọc hoạt động mượt mà, hiển thị hết các dòng dữ liệu.",High,,,Antigravity,
CN18,TC_BC_030,Nhấn nút Lọc cập nhật lại dữ liệu,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Nhấn nút Lọc.
Bước 5. Quan sát trạng thái các biểu đồ.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Dữ liệu được truy vấn lại.
Bước 5. Biểu đồ và bảng biểu làm mới dữ liệu.",High,,,Antigravity,
CN18,TC_BC_031,Kiểm tra phân nhóm sản phẩm Vé vào cổng,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát cột Nhóm SP trên Grid với sản phẩm 'Vé người lớn'.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Sản phẩm hiển thị đúng nhóm: 'Vé vào cổng'.",High,,,Antigravity,
CN18,TC_BC_032,Kiểm tra phân nhóm sản phẩm Đồ uống,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát cột Nhóm SP trên Grid với sản phẩm 'Trà đào cam sả'.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Sản phẩm hiển thị đúng nhóm: 'Đồ uống'.",High,,,Antigravity,
CN18,TC_BC_033,Kiểm tra phân nhóm sản phẩm Đồ ăn,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát cột Nhóm SP trên Grid với sản phẩm 'Cơm gà xối mỡ'.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Sản phẩm hiển thị đúng nhóm: 'Đồ ăn'.",High,,,Antigravity,
CN18,TC_BC_034,Kiểm tra phân nhóm sản phẩm Thuê đồ,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát cột Nhóm SP trên Grid với sản phẩm 'Thuê phao bơi'.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Sản phẩm hiển thị đúng nhóm: 'Thuê đồ'.",High,,,Antigravity,
CN18,TC_BC_035,Kiểm tra phân nhóm sản phẩm Lưu niệm,5,Functional,Báo cáo doanh thu,Hệ thống đang chạy bình thường.,"Bước 1. Mở phần mềm Quản lý Đại Nam.
Bước 2. Đăng nhập tài khoản Quản lý (tên đăng nhập: admin).
Bước 3. Trên menu chính, chọn mục Báo cáo.
Bước 4. Quan sát cột Nhóm SP trên Grid với sản phẩm 'Nón Đại Nam'.","Bước 1. Phần mềm khởi động, hiển thị màn hình đăng nhập.
Bước 2. Đăng nhập thành công, vào màn hình chính.
Bước 3. Hệ thống mở màn hình Báo cáo doanh thu.
Bước 4. Sản phẩm hiển thị đúng nhóm: 'Lưu niệm'.",High,,,Antigravity,
