POS_TAB_FNB|F&&B
FILTER_VATTU|Vật Tư
FILTER_VE|Vé
FNB_CAT_ANVAT|Ăn vặt
FNB_CAT_CHAY|Đồ chay
FNB_CAT_KHAIVI|Khai vị
FNB_CAT_MONCHINH|Món chính
FNB_CAT_NUOC|Nước uống
FNB_CAT_TRANGMIENG|Tráng miệng
FRM_COMBO_TITLE|QUẢN LÝ COMBO SẢN PHẨM
GRID_COL_DVT|ĐVT
GRID_COL_HANH_DONG|Hành Động
GRID_COL_LOAISP|Loại SP
GRID_COL_MASP|Mã SP
GRID_COL_TENSP|Tên Sản Phẩm
KHACH_TRA|Khách trả hàng
KimCuongDiamond|Kim Cương
LBL_DIEM_BAN|Điểm bán (POS)
LBL_DVT|Đơn vị tính (*)
LBL_GHICHU|Ghi Chú:
LBL_GIA_UU_TIEN|Giá ưu tiên
LBL_GRID_TITLE_FNB|Định mức nguyên liệu (R&D BOM):
LBL_KHU_VUC|Khu vực
LBL_KH_CCCD|CCCD
LBL_KH_DIACHI|Địa chỉ
LBL_KH_DIEM|Điểm tích lũy
LBL_KH_EMAIL|Email
LBL_KH_FIELD_CCCD|CCCD / CMND
LBL_KH_FIELD_DIACHI|Địa chỉ
LBL_KH_FIELD_EMAIL|Email
LBL_KH_FIELD_HANG|Hạng thành viên
LBL_KH_FIELD_MA|Mã khách hàng
LBL_KH_FIELD_NGAYTAO|Ngày đăng ký
LBL_KH_FIELD_SDT|Số điện thoại
LBL_KH_HANG|Hạng thành viên
LBL_KH_LOAI|Loại khách
LBL_KH_MA|Mã KH
LBL_KH_SDT|Điện thoại (*)
LBL_KH_SODU|Số dư khả dụng
LBL_KH_TEN|Họ tên (*)
LBL_KH_THE_RFID|Thẻ RFID
LBL_KH_TONGCHI|Tổng chi tiêu
LBL_LOAIPHIEU|Loại Phiếu:
LBL_LOAISP|Loại sản phẩm (*)
LBL_MAPHIEU|Mã Phiếu:
LBL_MASP|Mã sản phẩm (*)
LBL_NCC|Nhà Cung Cấp:
LBL_NGAYLAP|Ngày Lập:
LBL_NHA_HANG|Bếp / Bar phụ trách:
LBL_PHAN_LOAI_FNB|Phân loại thêm:
LBL_QUYENHAN_TITLE|Phân quyền (Hierarchy Tree)
LBL_TITLE_FNB|Dành riêng cho: ĐỒ ĂN & THỨC UỐNG
LBL_VAITRO_TITLE|Chọn Vai Trò
LBL_VAT|Thuế VAT
LOAIGIA_KHUYENMAI|Khuyến mãi
LOAIGIA_MACDINH|Mặc định
LOAIGIA_NGAYLE|Ngày lễ
LOAISP_ANUONG|Đồ ăn
LOAISP_CHOINGHIMAT|Chòi nghỉ mát
LOAISP_DATCHOTHUAN|Đặt chỗ thú ăn
LOAISP_DOCHO|Đồ cho thuê
LOAISP_DOUONG|Đồ uống
LOAISP_GUIXE|Gửi xe (Bãi xe định mức)
LOAISP_HANGHOA|Hàng hoá chung
LOAISP_LUUTRU|Lưu trú (Phòng)
LOAISP_NGUYENLIEU|Nguyên liệu
LOAISP_TUDO|Tủ đồ (Giữ đồ)
LOAISP_VETROCHOI|Vé trò chơi
LOAISP_VEVAOKHU|Vé vào khu
MENU_GRP_DANHMUC|Hệ thống Danh Mục
MENU_GRP_DASHBOARD|Bảng điều khiển
MENU_GRP_DOITAC|Quản trị
MENU_GRP_POS|Bán hàng
MENU_ITEM_COMBO|Quản lý Combo
MENU_ITEM_DASHBOARD|Thống kê tổng quan
MENU_ITEM_SANPHAM|Sản phẩm, Dịch vụ & Vé
MNU_XOADONG|Xóa dòng
MSG_CTK_XOA_OK|Xoá phiếu thành công.
MSG_DIEM_CONG_OK|Cộng điểm thành công!
MSG_DIEM_TRU_OK|Trừ điểm thành công!
MSG_GIU_XOA_OK|Thả tự do lượng hàng hoá thành công
MSG_KH_LUU_OK|Lưu thông tin khách hàng thành công!
MSG_KH_NHAP_SOTIEN|Nhập số tiền nạp:
MSG_KH_XOA_OK|Xóa khách hàng thành công!
MSG_LOHANG_LUU_OK|Cập nhật lô hàng thành công
MSG_LUU_RO_OK|Lưu rổ combo thành công!
MSG_NAP_TIEN_OK|Nạp tiền vào ví thành công!
MSG_PHANQUYEN_SUCCESS|Cập nhật phân quyền thành công!
MSG_POS_CHECKOUT_OK|Thanh toán đơn hàng thành công.
MSG_POS_PHIEN_DONG_OK|Đóng phiên thu ngân thành công.
MSG_POS_PHIEN_MO_OK|Mở phiên thu ngân thành công.
MSG_RFID_CHUYEN_OK|Chuyển trạng thái thẻ thành công!
MSG_RFID_KHOA_OK|Khóa thẻ thành công!
MSG_RFID_KICH_HOAT_OK|Kích hoạt/cấp thẻ thành công!
NULL_DOITAC|-- Chọn Đối Tác --
PAY_USE_POINTS|Dùng {0} điểm (khấu trừ {1}₫)
POS_LBL_CA|Ca:
POS_LBL_CASHIER|Thu ngân
POS_LBL_GIAMGIA|Giảm giá:
POS_LBL_GIOHANG|GIỎ HÀNG
POS_LBL_MACHINE|Máy
POS_LBL_SESSION|Phiên
POS_LBL_SHIFT|Ca
POS_LBL_THUEVAT|Thuế VAT:
POS_LBL_THUNGAN|Thu ngân:
POS_LBL_TIENHANG|Tiền hàng:
POS_MSG_XOAGIO|Xóa toàn bộ giỏ hàng? Hành động này không thể hoàn tác.
POS_PHIEN_BTN_CHOT|Chốt ca
POS_PHIEN_BTN_MO|Mở phiên
POS_PHIEN_LBL_CHENHLECH|Chênh lệch:
POS_PHIEN_LBL_MAYPOS|Máy POS:
POS_PHIEN_LBL_MOLUC|Mở lúc:
POS_PHIEN_LBL_TIENCUOICA|Tiền cuối ca (đếm tay):
POS_PHIEN_LBL_TIENDAUCA|Tiền đầu ca:
POS_PHIEN_LBL_TONGTHU|Tổng thu trong ca:
POS_PHIEN_TITLE_DONG|Đóng phiên thu ngân
POS_PHIEN_TITLE_MO|Mở phiên thu ngân
POS_STATUS_MAY|Máy:
POS_STATUS_PHIEN|Phiên
POS_TAB_HANGHOA|Hàng hóa
POS_TAB_THUEDO|Thuê đồ
POS_TAB_VE|Vé
POS_TOAST_THANHCONG|Thanh toán thành công
POS_TOAST_TIENTHUA|Tiền thừa: {0}
POS_TOAST_VENAPHAT|{0} mã QR vé đã phát
POS_TT_BTN_THEMDONG|+ Thêm dòng thanh toán
POS_TT_BTN_VUADU|Vừa đủ
POS_TT_BTN_XACNHAN|Xác nhận
POS_TT_COL_MATHERFID|Mã thẻ RFID
POS_TT_COL_PHUONGTHUC|Phương thức
POS_TT_COL_SOTIEN|Số tiền
POS_TT_CONTHIEU|Còn thiếu:
POS_TT_DATRA|Đã trả:
POS_TT_LBL_CHUTHE|Chủ thẻ:
POS_TT_LBL_SAUTRU|Sau trừ:
POS_TT_LBL_SODU|Số dư ví:
POS_TT_TIENTHUA|Tiền thừa:
POS_TT_TITLE|Thanh toán
POS_WATERMARK_BARCODE|Quét mã hoặc gõ tên sản phẩm...
PROMPT_TIM_KIEM|Chỉ nhập từ khóa để tìm kiếm...
PTTT_MOMO|MoMo
PTTT_QR|QR Code
PTTT_THENGANH|Thẻ ngân hàng
REFUND_BTN_CONFIRM|XÁC NHẬN HOÀN
REFUND_COL_BOUGHT|Đã Mua
REFUND_COL_PRICE|Đơn Giá / Mức Phạt
REFUND_COL_PRODUCT|Sản Phẩm
REFUND_COL_REASON|Lý Do
REFUND_COL_REFUNDED|Đã Hoàn
REFUND_COL_RETURNQTY|SL Muốn Hoàn
REFUND_COL_TYPE|Loại
REFUND_SEARCH_HINT|Mã Đơn Hàng cần hoàn...
REFUND_TITLE|Nghiệp Vụ - Hoàn Trả Giao Dịch Bán Lẻ
TAB_BANG_GIA|Bảng giá
TAB_CAU_HINH|Cấu hình vận hành
TAB_KH_DIEM|Lịch sử điểm
TAB_KH_LICHSU|Lịch sử GD
TAB_KH_LICHSU_GD|Lịch sử giao dịch
TAB_KH_THE_VI|Thẻ & Ví
TAB_KH_THONGTIN|Thông tin
TAB_QUY_DOI|Quy đổi ĐVT
TAB_THONG_TIN|Thông tin chung
TITLE_CANHBAO|Cảnh báo mất dữ liệu
TITLE_REFUND_CONFIRM|Hoàn Khách Hàng
TITLE_SUA_SP|Chỉnh sửa sản phẩm
TITLE_THEM_SP|Thêm sản phẩm mới
TITLE_UNSAVED|Cảnh báo mất dữ liệu
TOOLTIP_GIAUUTIEN|Giá này là thông tin chỉ đọc. Vui lòng chuyển sang Tab [Bảng giá] để lên lịch thiết lập giá bán mới.
TRANGTHAI_DANGBAN|Đang bán
TRANGTHAI_HOATDONG|Hoạt động
TRANGTHAI_NGUNGBAN|Ngừng bán
TRANGTHAI_NGUNGHOATDONG|Ngưng hoạt động
TRANGTHAI_TAMNGUNG|Tạm ngưng
TXT_ALERT_HSD|0 Lô sắp hết HSD
AI_TITLE|AI Assistant
AI_SETTINGS_TITLE|AI Settings
AI_SETTINGS_APIKEY|Gemini API Key:
AI_SETTINGS_MODEL|Model:
AI_SETTINGS_TEST|Test Connection
